cast,country,Year,Quarter,Month,Day,description,duration,director,listed_in,rating,release_year,show_id,title,type
"Dylan Vox, Lara Heller, Hachem Hicham, David Gray, Kelly B. Jones, Daniel Whyte, Eoin O'Brien, Ego Mikitas",United States,2018,Qtr 1,March,12,"Starting with the Trojan Horse attack, this modest re-telling of Homer's epic covers well-known highlights of Odysseus's long journey home.",90 min,Tekin Girgin,Action & Adventure,TV-MA,2017,s7240,Troy: The Odyssey,Movie
"Eamon Farren, Lev Gorn, PJ BoudousquÃ©, Lynn Cohen, Isabel Sandoval, Ivory Aquino, Andrea Leigh, Leif Steinert","United States, Philippines",2020,Qtr 3,August,26,An undocumented trans woman seeking legal status in the US becomes romantically involved with the grandson of the elderly woman she cares for.,94 min,Isabel Sandoval,"Dramas, International Movies, LGBTQ Movies",TV-MA,2020,s3649,Lingua Franca,Movie
"Ed Harris, Jason Sudeikis, Elizabeth Olsen","Canada, United States",2018,Qtr 2,April,20,"A record company exec joins his estranged dad, a famous photographer who's dying, on a road trip to the last lab still developing Kodachrome film.",105 min,Mark Raso,"Comedies, Dramas",TV-MA,2018,s3432,Kodachrome,Movie
"Ed Helms, Amanda Seyfried, Tracy Morgan, Brenda Vaccaro, P.J. Byrne, Leah Remini, Mickey Gooch Jr., Adam Levine, Russell Peters, Alan Thicke",United States,2018,Qtr 2,May,1,"A newcomer ekes out a living in LA as a professional audience member on infomercials, but life gets complicated when he's thrust into the spotlight.",90 min,Dito Montiel,"Comedies, Dramas, Independent Movies",R,2017,s6226,The Clapper,Movie
"Ed Helms, Taraji P. Henson, Terrence Little Gardenhigh, Betty Gilpin",United States,2020,Qtr 2,April,3,An inept Detroit cop must team up with his girlfriend's foul-mouthed young son when their first crack at bonding time uncovers a criminal conspiracy.,88 min,Michael Dowse,"Action & Adventure, Comedies",TV-MA,2020,s1451,Coffee & Kareem,Movie
"Eda Ece, DilÅŸah Demir, Gupse Ã–zay, BuÄŸra GÃ¼lsoy",Turkey,2020,Qtr 2,April,28,"When his jealous sister plots to wreck his engagement, a young man does everything he can to protect his betrothed from her devious schemes.",104 min,KÄ±vanÃ§ BaruÃ¶nÃ¼,"Comedies, International Movies, Music & Musicals",TV-MA,2016,s2326,GÃ¶rÃ¼mce,Movie
"Eddie Garcia, Princess, Rez Cortez, Bibeth Orteza, Joey Paras, Allan Paule, Beverly Salviejo, Soxy Topacio, Armida Siguion-Reyna, Luz Valdez, Gardo Versoza","Philippines, Canada, United Kingdom, United States",2020,Qtr 4,December,16,"Gruff and alone, retiree Rene rejects most human contact but begins to soften when he comes to terms with his homosexuality.",110 min,Jun Lana,"Dramas, International Movies, LGBTQ Movies",TV-MA,2012,s1155,Bwakaw,Movie
Eddie Hall,United Kingdom,2016,Qtr 4,December,15,British strongman Eddie Hall wants to be the strongest man in the world. This documentary reveals the grueling life choices that fuel his obsession.,98 min,Matt Bell,"Documentaries, Sports Movies",TV-MA,2015,s1918,Eddie - Strongman,Movie
"Eddie Hall, HafÃ¾Ã³r JÃºlÃ­us BjÃ¶rnsson, Brian Shaw, Zydrunas Savickas",United States,2017,Qtr 4,December,31,Four 400-pound giants fight for the crown at the Arnold Strongman Classic and offer a glimpse into their lives leading up to the competition.,86 min,"Gary Cohen, Ross Hockrow","Documentaries, Sports Movies",TV-MA,2017,s1058,Born Strong,Movie
"Eddie Marsan, Bertie Carvel, Marc Warren, Charlotte Riley, Alice Englert, Samuel West, Enzo Cilenti, Paul Kaye, Edward Hogg, Ariyon Bakare",United Kingdom,2016,Qtr 3,August,25,"In 1806, ambitious magician Norrell leads a revival of practical magic in England and ignites a fierce rivalry with bold young conjurer Strange.",1 Season,Toby Haynes,"British TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-14,2015,s3220,Jonathan Strange & Mr Norrell,TV Show
Eddie Murphy,United States,2018,Qtr 2,April,15,"Flashing the wild stand-up comedy that made him a household name, Eddie Murphy unleashes uncensored observations and parodies in this 1983 live show.",69 min,Bruce Gowers,Stand-Up Comedy,TV-MA,1983,s1919,Eddie Murphy: Delirious,Movie
Eddie Murphy,United States,2021,Qtr 1,January,1,"This stand-up comedy classic features Eddie Murphy live in a provocative series of impressions, observations and remembrances of his childhood.",90 min,Robert Townsend,Stand-Up Comedy,R,1987,s1920,Eddie Murphy: Raw,Movie
"Eddie Murphy, Britt Robertson, Natascha McElhone, Xavier Samuel, Lucy Fry, Christian Madsen, Natalie Coughlin, Madison Wolfe, Thom Barry, Mckenna Grace",United States,2018,Qtr 4,December,22,"A temporary personal chef, a terminally ill single mother and her young daughter form an unlikely bond that redefines the meaning of family.",105 min,Bruce Beresford,Dramas,PG-13,2016,s4250,Mr. Church,Movie
"Eddie Murphy, Jeff Garlin, Steve Zahn, Regina King, Anjelica Huston, Kevin Nealon, Jonathan Katz, Siobhan Fallon Hogan, Lisa Edelstein, Lacey Chabert, Laura Kightlinger, Leila Arcieri",United States,2019,Qtr 1,January,1,"When a conscientious father loses his lucrative dot-com job and faces economic ruin, he joins two friends in opening a business called Daddy Day Care.",93 min,Steve Carr,"Children & Family Movies, Comedies",PG,2003,s1579,Daddy Day Care,Movie
"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer",United States,2020,Qtr 3,July,1,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count.",92 min,Brian Robbins,Comedies,PG-13,2012,s241,A Thousand Words,Movie
"Eddie Murphy, Thomas Haden Church, Yara Shahidi, Ronny Cox, Stephen Rannazzisi, Nicole Ari Parker, DeRay Davis, Vanessa Williams, Martin Sheen, Lauren Weedman, Timm Sharp, Bobb'e J. Thompson","United States, Germany",2019,Qtr 4,December,7,"Work problems are piling up for a businessman. But when he discovers a pathway to his daughter's imaginary world, he starts finding some solutions.",108 min,Karey Kirkpatrick,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",PG,2009,s2951,Imagine That,Movie
"Eddie Murphy, Wesley Snipes, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Kodi Smit-McPhee",United States,2019,Qtr 4,October,25,"In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",118 min,Craig Brewer,"Comedies, Dramas",R,2019,s1799,Dolemite Is My Name,Movie
"Eddie Peng, Zhang Hanyu, Carl Ng, Ken Lo, Pawarith Monkolpisit, Jonathan Wu","China, Hong Kong",2017,Qtr 3,August,5,"In a dangerous area of the Mekong River, a drug raid ending in 13 deaths arouses the suspicions of a narcotics officer who sets out to find the truth.",124 min,Dante Lam,"Action & Adventure, International Movies",TV-MA,2016,s4670,Operation Mekong,Movie
"Eddie Redmayne, Alicia Vikander, Ben Whishaw, Sebastian Koch, Amber Heard, Matthias Schoenaerts, Pip Torrens, Nicholas Woodeson, Emerald Fennell, Adrian Schiller","United Kingdom, United States, Germany, Denmark, Belgium, Japan",2019,Qtr 4,December,16,"In 1920s Denmark, married artists embark on a journey of unconditional love when the husband announces his intentions to live life as a woman.",120 min,Tom Hooper,"Dramas, International Movies, LGBTQ Movies",R,2015,s6266,The Danish Girl,Movie
"Eden Duncan-Smith, Dante Crichlow, Astro, Johnathan Nieves, Marsha Stephanie Blake, Wavyy Jonez, Myra Lucretia Taylor",United States,2019,Qtr 2,May,17,"As two teen prodigies try to master the art of time travel, a tragic police shooting sends them on a series of dangerous trips to the past.",87 min,Stefon Bristol,"Dramas, Sci-Fi & Fantasy, Thrillers",TV-MA,2019,s5482,See You Yesterday,Movie
"Edgar RamÃ­rez, Michael Pitt, Anna Brewster, Patrick Bergin, Sharlto Copley, Brandon Auret, Tamer Burjaq, Terence Maynard, James Richard Marshall",United States,2020,Qtr 2,June,5,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior.",149 min,Olivier Megaton,"Action & Adventure, Dramas, Independent Movies",TV-MA,2020,s6556,The Last Days of American Crime,Movie
Edmilson Filho,Brazil,2018,Qtr 4,November,1,"Brazilian comedian Edmilson Filho walks his audience through the stages of a modern relationship, playing up the differences between men and women.",80 min,Halder Gomes,Stand-Up Comedy,TV-MA,2017,s1926,"Edmilson Filho: Notas, Comedy about Relationships",Movie
Edoardo Ferrario,Italy,2019,Qtr 1,March,15,"Italian comedian Edoardo Ferrario riffs on life at 30 and unpacks the peculiarities of global travel, social media and people who like craft beer.",65 min,Francesco Imperato,Stand-Up Comedy,TV-MA,2019,s1927,Edoardo Ferrario: Temi Caldi,Movie
"Eduard FernÃ¡ndez, JosÃ© Coronado, Marta Etura, Carlos Santos, Enric Benavent, Philippe Rebbot, Israel Elejalde, TomÃ¡s del Estal, Emilio GutiÃ©rrez Caba",Spain,2017,Qtr 2,June,1,"Betrayed by the Spanish government he once served, a former secret agent plots to steal millions of dollars embezzled by a corrupt public official.",123 min,Alberto RodrÃ­guez,"Dramas, International Movies, Thrillers",TV-14,2016,s5678,Smoke & Mirrors,Movie
"Eduardo Noriega, Michelle Jenner, Fele MartÃ­nez, Amaia Salamanca",Spain,2017,Qtr 2,April,14,"A love-challenged man and a woman he meets at a bookshop bar begin dating, but only at the shop â€“ and without knowing anything about each other.",92 min,Miguel Ãngel Lamata,"Comedies, Dramas, International Movies",TV-MA,2016,s4696,Our Lovers,Movie
"Edward Asner, Judy Greer, Erin Fitzgerald, Fred Tatasciore, Jeff Gill, Gregg Spiridellis, Evan Spiridellis, Jim Meskimen, Nate Theis",United States,2017,Qtr 4,December,1,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus â€“ only to find he's missing.",26 min,"Evan Spiridellis, Jeff Gill","Children & Family Movies, Comedies",TV-Y,2017,s234,A StoryBots Christmas,Movie
"Edward Chen, Tseng Ching-hua, Leon Dai, Jason Wang, Fabio Grangeon, Mimi Shao, Barry Qu, Erek Lin, Honduras, Lotus Wang",Taiwan,2020,Qtr 4,December,23,"In 1987, as martial law ends in Taiwan, Jia-han and Birdy fall in love amid family pressure, homophobia and social stigma.",115 min,Liu Kuang-hui,"Dramas, International Movies, LGBTQ Movies",TV-MA,2020,s7742,Your Name Engraved Herein,Movie
"Edward James Olmos, Zach De La Rocha",United States,2020,Qtr 4,October,1,"Mixing archival footage with interviews, this film celebrates one of Los Angeles's most influential painters and Chicano art activists from the 1970s.",83 min,"Elsa Flores Almaraz, Richard J Montoya","Documentaries, LGBTQ Movies",TV-14,2019,s1219,Carlos Almaraz: Playing with Fire,Movie
"Edward Kagutuzi, Genevieve Nnaji, Osita Iheme, Fatima Jabbe, Victor Carvalho, Felix Ceesay, John Charles Njie, Momodu Musa Ceesay","United Kingdom, Nigeria",2020,Qtr 2,June,30,"A young boy is taken to his mother's birth home in Africa, where a mystical adventure in an ominous forest turns into a journey of self-discovery.",86 min,Obi Emelonye,"Action & Adventure, Dramas, International Movies",TV-14,2011,s6677,The Mirror Boy,Movie
"Edward Norton, Dan Fogler, Mike Birbiglia, Bella Thorne, Randall Park, Mel Brooks, Nicole Kidman, Meryl Streep",China,2017,Qtr 3,September,1,"When a Chinese family's soup shop is targeted for sabotage by a competitor, two guardians from the spirit world leave retirement to protect them.",86 min,Gary Wang,"Children & Family Movies, Comedies",TV-G,2016,s6428,The Guardian Brothers,Movie
"Edward Norton, Edward Furlong, Beverly D'Angelo, Jennifer Lien, Ethan Suplee, Fairuza Balk, Avery Brooks, Elliott Gould, Stacy Keach, William Russ, Guy Torry",United States,2019,Qtr 4,November,1,A neo-Nazi gets sent to prison for murder and comes out a changed man. But can he prevent his younger brother from following in his footsteps?,119 min,Tony Kaye,Dramas,R,1998,s467,American History X,Movie
"Edwin Goh, Ian Fang Weijie, Phua Yida, Kimberly Chia",Singapore,2018,Qtr 4,December,20,"After a brawl lands him in a Boysâ€™ Home, a teen seems to be on a promising path until loyalty to his gangster buddy leads to even bigger trouble.",95 min,Steve Cheng,"Action & Adventure, International Movies",TV-MA,2012,s2957,Imperfect,Movie
"Eileen Atkins, Bob Balaban, Alan Bates, Charles Dance, Stephen Fry, Michael Gambon, Richard E. Grant, Tom Hollander, Derek Jacobi, Kelly Macdonald, Helen Mirren, Jeremy Northam, Clive Owen, Ryan Phillippe, Maggie Smith, Geraldine Somerville, Kristin Scott Thomas, Sophie Thompson, Emily Watson, James Wilby","United States, United Kingdom, Italy",2019,Qtr 4,November,1,"In this witty whodunit, wealthy guests and their servants gather for a weekend stay at the home of Sir William McCordle, who is soon found murdered.",137 min,Robert Altman,"Comedies, Dramas, International Movies",R,2001,s2503,Gosford Park,Movie
"Eileen YÃ¡Ã±ez, Jorge Luis Moreno, Daniela Newton, Andrea Newton, Luis Eduardo Yee, Enrique Medina, Roberto Fiesco",Mexico,2020,Qtr 1,March,20,"As a teen languishes during a spiritless road trip, she learns of the troubles in her parents' marriage as a crisis in her country looms.",95 min,Gabriela GarcÃ­a Rivas,"Dramas, Independent Movies, International Movies",TV-14,2017,s1966,El silencio es bienvenido,Movie
"Ekin Cheng, Chrissie Chow, Ivana Wong, Jase Ho, Alex Lam, Wen Xin, Miriam Chin Wah Yeung, Eric Kot, Kar Lok Chin",Hong Kong,2018,Qtr 4,December,1,"After their 99th breakup, a career woman and her carefree partner open a cafe where customers can put up souvenirs of past relationships.",105 min,Lawrence Cheng,"Comedies, International Movies, Romantic Movies",TV-14,2014,s1088,Break Up 100,Movie
"Ekin Cheng, Jordan Chan, Alex Fong, Michelle Ye, On-on Yu, Wilfred Lau, Conroy Chan",Hong Kong,2018,Qtr 4,December,1,"Two former triads are tapped to run in an election for leader of the underworld, but both want normal lives. Each must outwit the other to lose.",95 min,Felix Chong,"Action & Adventure, Comedies, International Movies",TV-MA,2010,s4621,Once a Gangster,Movie
El Negro Ãlvarez,Argentina,2017,Qtr 3,September,1,"This quirky examination of Argentina's culture, customs and cuisine slices into the country's traditional barbecue â€“ which is both meal and ritual.",86 min,"Mariano Cohn, GastÃ³n Duprat","Documentaries, International Movies",TV-MA,2016,s7128,Todo Sobre El Asado,Movie
"Elena Anaya, BenjamÃ­n VicuÃ±a, NÃ©stor Cantillana, Sergio HernÃ¡ndez, Silvia Marty, Etienne Bobenrieth, Antonia Zegers, Pablo Cerda","Chile, Spain, Argentina, Germany",2017,Qtr 1,February,15,"When the accidental death of a couple's young son sends them grieving in opposite directions, they're forced to re-examine their life and marriage.",88 min,MatÃ­as Bize,"Dramas, International Movies",TV-MA,2015,s6657,The Memory of Water,Movie
"Eli Brown, Madison Iseman, Marcus Scribner, Jerry O'Connell, Karan Brar, Tristan Lake Leabu, Peter Facinelli, Natalie Zea",United States,2020,Qtr 3,July,1,"After a prank blows up a studious high school senior's life, he shares a list of certain things he wishes he'd done differently â€” and maybe still can.",103 min,Michael Duggan,Comedies,TV-MA,2019,s6342,The F**k-It List,Movie
"Eli Roth, Andrea OsvÃ¡rt, Ariel Levy, Natasha Yarovenko, NicolÃ¡s MartÃ­nez, Lorenza Izzo, Marcial Tagle, RamÃ³n Llao, Ignacia Allamand, Paz BascuÃ±Ã¡n","United States, Chile",2018,Qtr 1,March,7,"An American tourist and his friends are partying in Chile, but a major earthquake devastates the area and forces them to scramble for survival.",89 min,NicolÃ¡s LÃ³pez,"Action & Adventure, Horror Movies",R,2012,s333,Aftershock,Movie
"Elijah Canlas, Eddie Garcia, Jaclyn Jose, Gabby Padilla, Cedrick Juan, Elora Espano, Sue Prado",Philippines,2020,Qtr 4,December,9,"Surrounded by tensions and secrets, a teenage boy searches for validation and navigates life with a dysfunctional family following an HIV diagnosis.",105 min,Jun Lana,"Dramas, Independent Movies, International Movies",TV-MA,2019,s3295,"Kalel, 15",Movie
"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Billy Boyd, Dominic Monaghan, Orlando Bloom, Hugo Weaving","New Zealand, United States",2020,Qtr 1,January,1,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor.",201 min,Peter Jackson,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2003,s6617,The Lord of the Rings: The Return of the King,Movie
"Elijah Wood, Ian McKellen, Liv Tyler, Viggo Mortensen, Sean Astin, Cate Blanchett, John Rhys-Davies, Bernard Hill, Christopher Lee, Billy Boyd, Dominic Monaghan, Orlando Bloom","New Zealand, United States",2020,Qtr 1,January,1,"Frodo and Sam head to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin.",179 min,Peter Jackson,"Action & Adventure, Sci-Fi & Fantasy",PG-13,2002,s6618,The Lord of the Rings: The Two Towers,Movie
"Elijah Wood, John C. Reilly, Jennifer Connelly, Christopher Plummer, Crispin Glover, Martin Landau, Fred Tatasciore, Alan Oppenheimer, Tom Kane",United States,2017,Qtr 4,November,16,"In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",80 min,Shane Acker,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",PG-13,2009,s4,9,Movie
"Elio Germano, Matilda De Angelis, Tom Wlaschiha, Luca Zingaretti, Fabrizio Bentivoglio, Leonardo Lidi, FranÃ§ois Cluzet",Italy,2020,Qtr 4,December,9,"An idealistic engineer builds his own island off the coast of Italy and declares it a nation, drawing the attention of the world â€” and the government.",119 min,Sydney Sibilia,"Comedies, Dramas, International Movies",TV-14,2020,s5285,Rose Island,Movie
"Elio Germano, Michela Cescon, Elena Cotta, Silvia D'Amico, Vincent Scarito","Italy, Belgium",2019,Qtr 4,November,1,A gravity-defying boy raised in seclusion matures into an extraordinary man â€“ and an international celebrity â€“ who longs for human connection.,107 min,Marco Bonfanti,"Dramas, International Movies",TV-MA,2019,s6640,The Man Without Gravity,Movie
"Eliza Taylor, Jake Lacy, Andie MacDowell, Michael Xavier, Neil Crone, Anthony Sherwood, Joanna Douglas, Martin Roach",United States,2017,Qtr 4,December,15,"To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",105 min,Ernie Barbarash,"Dramas, International Movies, Romantic Movies",TV-G,2017,s1368,Christmas Inheritance,Movie
"Eliza Taylor, Pablo Schreiber, Daniel Webber, Lena Headey, Ben Feldman, Grant Harvey, Jazzy De Lisser, Brett Rice",United States,2018,Qtr 1,February,5,"After moving to a hardscrabble suburban California town, a young woman becomes dangerously entangled with a local drug enterprise.",93 min,Jordan Ross,"Dramas, Thrillers",TV-MA,2017,s7072,Thumper,Movie
"Elizabeth Bogush, Brad Schmidt, Sarah Lind, Eddie Kaye Thomas, Phillip Boyd, Victoria Barabas, Mark Famiglietti, Walker Borba, Meg DeLacy",United States,2020,Qtr 4,October,23,"When her former lover's mysteriously murdered, a woman must clear her name â€“ and avoid the killer.",86 min,Chris Sivertson,"Dramas, Thrillers",TV-14,2018,s5545,Shattered Memories,Movie
"Elizabeth Daily, Christine Cavanaugh, Kath Soucie, Melanie Chartoff, Phil Proctor, Cree Summer, Cheryl Chase, Tara Strong, Jack Riley, Joe Alaskey, Michael Bell, Tress MacNeille, Busta Rhymes, Whoopi Goldberg, David Spade",United States,2019,Qtr 4,October,1,"When his baby brother Dil is born, Tommy Pickles and his pals decide that he's too much responsibility and try to return him to the hospital.",81 min,"Igor Kovalyov, Norton Virgien","Children & Family Movies, Comedies",G,1998,s6840,The Rugrats Movie,Movie
"Elizabeth Daily, Tara Strong, Cheryl Chase, Christine Cavanaugh, Cree Summer, Kath Soucie, Michael Bell, Tress MacNeille, Casey Kasem, Joe Alaskey, Debbie Reynolds, Jack Riley, Susan Sarandon, John Lithgow","Germany, United States",2019,Qtr 4,October,1,The Rugrats take to the big screen and visit Paris when Mr. Pickles gets summoned to fix a giant robot at the EuroReptarland theme park.,79 min,"Stig Bergqvist, Paul Demeyer","Children & Family Movies, Comedies",G,2000,s5296,Rugrats in Paris: The Movie,Movie
"Elizabeth Taylor, Laurence Harvey, Eddie Fisher, Dina Merrill, Mildred Dunnock, Betty Field, Jeffrey Lynn, Susan Oliver",United States,2019,Qtr 4,November,1,"Elizabeth Taylor won an Oscar as Gloria Wandrous, a stylish call girl who yearns to go straight, especially after she thinks she's found Mr. Right.",108 min,Daniel Mann,"Classic Movies, Dramas, Romantic Movies",TV-14,1960,s1153,Butterfield 8,Movie
"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, Judith Anderson, Madeleine Sherwood, Larry Gates, Vaughn Taylor",United States,2019,Qtr 4,November,1,"Members of a Southern clan scramble to curry favor with a dying, wealthy patriarch in this adaptation of Tennessee Williams's sizzling stage drama.",108 min,Richard Brooks,"Classic Movies, Dramas",NR,1958,s1242,Cat on a Hot Tin Roof,Movie
"Ellar Coltrane, Callan McAuliffe, Ian Nelson, Lana Condor, Analeigh Tipton, Melina Vidler, Bill Milner, Justin Chatwin, Ella Hunt, Elena Kampouris, Victoria Justice, Khris Davis, Hayden Szeto",United States,2020,Qtr 1,March,19,A group of 20-somethings in a small town experience a variety of personal and relationship issues leading up to a gathering at the local watering hole.,93 min,Joseph Cross,"Comedies, Dramas, Romantic Movies",TV-MA,2019,s5879,Summer Night,Movie
"Elle Fanning, Alessandro Nivola, Christina Hendricks, Alice Englert, Timothy Spall, Oliver Platt, Annette Bening, Jodhi May, Oliver Milburn, Andrew Hawley","United Kingdom, Denmark, Canada, Croatia",2018,Qtr 3,July,15,"With the Cold War looming over them, teen best pals Ginger and Rosa share everything in early 1960s London â€“ until betrayal drives them apart.",90 min,Sally Potter,"Dramas, Independent Movies",PG-13,2012,s2418,Ginger & Rosa,Movie
"Elle Fanning, Justice Smith, Luke Wilson, Keegan-Michael Key, Alexandra Shipp, Lamar Johnson, Virginia Gardner, Kelli O'Hara, Felix Mallard, Sofia Hasmik",United States,2020,Qtr 1,February,28,Two teens facing personal struggles form a powerful bond as they embark on a cathartic journey chronicling the wonders of Indiana.,109 min,Brett Haley,"Dramas, Romantic Movies",TV-MA,2020,s419,All The Bright Places,Movie
"Elle Fanning, Naomi Watts, Susan Sarandon, Tate Donovan, Linda Emond, Jordan Carlos, Sam Trammell, Maria Dizzia, Tessa Albertson",United States,2017,Qtr 3,August,28,"When teenage Ray begins transitioning from female to male, his single mom and grandmother must cope with the change while tracking down his father.",92 min,Gaby Dellal,"Dramas, LGBTQ Movies",PG-13,2015,s99,3 Generations,Movie
"Ellen Burstyn, Kris Kristofferson, Billy Green Bush, Diane Ladd, Harvey Keitel, Lelia Goldoni, Lane Bradbury, Vic Tayback, Jodie Foster, Alfred Lutter",United States,2019,Qtr 3,July,1,"A widowed singer and single mother starts over as a diner waitress in Arizona, befriending her coworkers and romancing a ruggedly handsome rancher.",112 min,Martin Scorsese,"Classic Movies, Comedies, Dramas",PG,1974,s393,Alice Doesn't Live Here Anymore,Movie
Ellen DeGeneres,United States,2018,Qtr 4,December,18,"In her first special since 2003, Ellen revisits her road to stardom and details the heartfelt â€“ and hilarious â€“ lessons she's learned along the way.",1 Season,"Joel Gallen, Tig Notaro","Stand-Up Comedy & Talk Shows, TV Comedies",TV-MA,2018,s1982,Ellen DeGeneres: Relatable,TV Show
Ellen Page,Canada,2020,Qtr 1,March,27,This documentary spotlights the struggle of minority communities in Nova Scotia as they fight officials over the lethal effects of industrial waste.,72 min,"Ellen Page, Ian Daniel","Documentaries, International Movies",TV-14,2019,s7040,There's Something in the Water,Movie
"Ellen Page, Allison Janney, Tammy Blanchard, Evan Jonigkeit, Uzo Aduba, John Benjamin Hickey, David Zayas, Zachary Quinto, Fredric Lehne",United States,2016,Qtr 3,July,29,"While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own.",112 min,Sian Heder,"Dramas, Independent Movies",TV-MA,2016,s5977,Tallulah,Movie
"Ellen Page, Evan Rachel Wood, Max Minghella, Callum Keith Rennie, Michael Eklund, Wendy Crewson",Canada,2018,Qtr 4,November,7,"In the near future, two frightened sisters fight for survival after losing their father during a deadly, quietly looming apocalypse.",102 min,Patricia Rozema,"Dramas, International Movies, Sci-Fi & Fantasy",R,2015,s3032,Into the Forest,Movie
"Ellie Kemper, Jane Krakowski, Tituss Burgess, Carol Kane, Jon Hamm, Daniel Radcliffe, Lauren Adams, Sara Chase, Sol Miranda, Amy Sedaris, Mike Carlsen, Dylan Gelula, Chris Parnell, Heidi Gardner, Jack McBrayer, Zak Orth, Fred Armisen, Johnny Knoxville",United States,2020,Qtr 2,May,12,"It's an interactive Kimmy special! Kimmy's getting married, but first she has to foil the Reverend's evil plot. It's your move: What should she do next?",190 min,Claire Scanlon,Comedies,TV-14,2020,s7320,Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,Movie
Elsa Dorfman,United States,2017,Qtr 4,October,31,"Filmmaker Errol Morris probes the life, work and studio of his pal Elsa Dorfman, a Polaroid photographer who's shot luminaries and regular folk alike.",76 min,Errol Morris,Documentaries,R,2016,s6101,The B-Side: Elsa Dorfman's Portrait Photography,Movie
"Elvire Emanuelle, Yahya Abdul-Mateen II, Colman Domingo, Jharrel Jerome, Kim Ramirez, Jared Kemp, Allen Maldonado",United States,2018,Qtr 1,March,30,A tenacious high school girl raised in foster homes in the inner city tries to reconnect with her ex-con father by joining a boys wrestling team.,103 min,Olivia Newman,"Dramas, Independent Movies, Sports Movies",TV-MA,2018,s2186,First Match,Movie
"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip",Canada,2020,Qtr 3,August,1,"A new class of pint-sized preschoolers arrives at Pitchfork Pines, and the Super Monsters take their superpowers to the next level â€” the Purple Room!",25 min,Steve Ball,Children & Family Movies,TV-Y,2020,s5903,Super Monsters: The New Class,Movie
"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt McKillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,2019,Qtr 4,November,26,"It's Christmas Eve in Pitchfork Pines, and the Super Monsters are joining forces to deck the halls, find Santa's missing reindeer and save the holiday!",24 min,Steve Ball,Children & Family Movies,TV-Y,2019,s5899,Super Monsters Save Christmas,Movie
"Emanuela Rei, Giorgia Boni, Sergio Ruggeri, Luca Murphy, Federica Corti, Federico Pedroni, Tiffany Zhou, Sergio Melone",Italy,2019,Qtr 1,March,31,"Originally polar opposites, an American fashion student and the daughter of an industry mogul form an everlasting bond and start a rock band in Milan.",1 Season,Iginio Straffi,"Kids' TV, TV Comedies",TV-Y7,2017,s3852,Maggie & Bianca: Fashion Friends,TV Show
"Emile Hirsch, Brian Cox, Ophelia Lovibond, Michael McElhatton, Parker Sawyers, Jane Perry, Olwen Catherine Kelly","United Kingdom, United States",2018,Qtr 4,December,30,A father-son team of small-town coroners performs an autopsy on an unidentified woman with mysterious injuries and a terrifying secret.,86 min,AndrÃ© Ã˜vredal,"Horror Movies, Independent Movies, Thrillers",R,2016,s6099,The Autopsy of Jane Doe,Movie
"Emile Hirsch, Bruce Dern, Lexy Kolker, Grace Park, Amanda Crew, Aleks Paunovic, Michelle Harrison","United States, Canada",2020,Qtr 1,March,3,"Hidden away by her eccentric father, a mysterious young girl uncovers frightening truths when she starts to make contact with the outside world.",105 min,"Adam B. Stein, Zach Lipovsky","Independent Movies, Sci-Fi & Fantasy, Thrillers",R,2018,s2267,Freaks,Movie
